,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_speed,Country,Date
280,luoyang,41.81,126.91,81.12,71,99,5.7,CN,1596609439
281,xiongzhou,-20.94,55.29,72,60,75,19.46,RE,1596609439
282,bati,-20.01,57.66,72,63,97,8.01,MU,1596609440
283,lagoa,-17.35,-65.87,48.2,36,0,1.14,BO,1596609440
284,iqaluit,41.37,-73.41,69.8,83,1,5.82,US,1596609440
285,bilibino,-12.07,134.27,79.66,61,10,12.1,AU,1596609441
286,pangody,-38.7,-73.17,46.4,100,20,4.7,CL,1596609441
287,oksfjord,60.15,15.19,55.99,82,75,4.7,SE,1596609441
288,sorland,37.72,-25.43,71.6,88,75,10.29,PT,1596609442
289,seydi,-17.53,146.03,70,66,0,3,AU,1596609442
290,codrington,-42.72,170.97,54.14,83,99,4.34,NZ,1596609442
291,wuwei,3.46,8.55,75.2,100,20,6.93,GQ,1596609443
292,eirunepe,-19.06,-169.92,73.4,94,9,2.24,NU,1596609351
293,lishui,-5.12,-60.38,74.23,63,11,0.85,BR,1596609443
294,camana,54.77,-101.86,61.52,91,0,5.28,CA,1596609444
295,boyuibe,-1.25,-78.62,41,83,70,3.51,EC,1596609444
296,hofn,-33.01,17.94,37.4,60,0,4.7,ZA,1596609445
297,mys shmidta,69.7,170.31,32.92,98,100,14.09,RU,1596609445
298,dolores,57.13,43.81,73.53,52,0,3.13,RU,1596609446
299,shitanjing,24.48,118.08,84.2,83,75,4.47,CN,1596609446
300,tlazazalca,47.33,-79.43,53.6,93,90,8.05,CA,1596609446
301,san clemente,20.43,99.88,84.2,79,75,6.93,TH,1596609447
302,karpogory,42.6,-84.38,55,100,1,4.79,US,1596609447
303,solnechnyy,-34.65,-59.43,66.99,80,81,1.99,AR,1596609447
304,emet,-22.95,30.48,58.28,66,71,6.96,ZA,1596609186
305,bambanglipuro,51.65,84.32,77.09,46,8,10.04,RU,1596609448
306,sonoita,61.81,51.58,71.6,64,52,6.71,RU,1596609448
307,balkhash,-2.65,10,72.55,81,100,3.38,GA,1596609449
308,pemangkat,4.93,-52.33,73.4,100,5,8.08,GF,1596609449
309,tiznit,-6.13,12.37,73.4,88,40,3.56,AO,1596609451
310,linjiang,56.01,90.39,74.3,48,0,9.62,RU,1596609453
311,lemesos,-11.57,-77.27,59,82,90,10.29,PE,1596609453
312,le port,3.38,-59.8,75.54,88,100,0.58,GY,1596609453
313,grand gaube,-31.67,18.5,50.05,60,0,0.78,ZA,1596609454
314,colomi,71.97,102.5,63.81,86,100,11.92,RU,1596609454
315,bethel,69.3,139.9,67.3,28,74,10.13,RU,1596609454
316,maningrida,63.44,-20.27,52.77,92,100,24.32,IS,1596609455
317,carahue,4.41,114.01,86,74,40,11.41,MY,1596609455
318,ludvika,49,-64.4,62.6,77,90,9.17,CA,1596609455
319,vila franca do campo,30.87,120.09,99,71,100,8.19,CN,1596609456
320,innisfail,50.1,-91.92,51.8,100,5,4.7,CA,1596609455
321,hokitika,36.85,-75.98,78.8,88,40,5.82,US,1596609373
322,luba,-20.22,-70.14,57.2,71,20,3.36,CL,1596609456
323,alofi,19.22,-98.81,64.4,72,75,3.36,MX,1596609457
324,novo aripuana,49.71,72.59,80.6,44,0,17.9,KZ,1596609457
325,flin flon,65.28,-126.83,59,100,90,10.29,CA,1596609457
326,ambato,42.42,-122.83,77,47,1,1.74,US,1596609458
327,kamenskoye,36.62,-121.92,60.01,93,25,3,US,1596609235
328,saldanha,-3.48,23.43,76.23,67,100,2.39,CD,1596609458
329,turtkul,9.49,50.81,89.6,43,100,34.05,SO,1596609375
330,pevek,52.05,-9.52,64.4,93,75,11.41,IE,1596609459
331,kovernino,62.58,6.13,55.4,82,75,12.75,NO,1596609460
332,xiamen,4.42,-7.35,71.08,82,40,4.03,CI,1596609460
333,ville-marie,60.14,-45.24,43.18,85,2,5.1,GL,1596609461
334,mae sai,36.72,117.5,88,72,100,1.01,CN,1596609461
335,ingham,22.89,-109.91,84,79,0,1.99,MX,1596609461
336,louisbourg,4.85,31.58,76.48,75,100,1.74,SS,1596609462
337,mercedes,68.05,39.51,64.81,64,97,15.03,RU,1596609462
338,thohoyandou,47.87,88.12,79.41,30,52,11.9,CN,1596609462
339,soloneshnoye,-30.3,153.13,66,63,0,5.82,AU,1596609381
340,felidhoo,22.81,115.83,82.17,84,100,7,CN,1596609463
341,kortkeros,-5.09,-81.11,60.33,85,0,9.26,PE,1596609463
342,gamba,21.46,-71.14,82.42,85,91,19.19,TC,1596609463
343,cayenne,49.75,142.83,52.83,93,100,3.22,RU,1596609464
344,soyo,32.87,59.22,80.6,28,0,16.11,IR,1596609464
345,nazarovo,-37.81,144.89,51.01,81,75,8.05,AU,1596609464
346,chancay,6.12,81.12,86,84,40,12.75,LK,1596609464
347,lethem,-29.54,31.21,59,82,90,9.17,ZA,1596609465
348,vredendal,43.75,-81.72,64.99,87,34,13.2,CA,1596609465
349,khatanga,42.8,93.45,103.3,11,0,8.79,CN,1596609466
350,deputatskiy,-1.2,-46.02,75.25,93,4,3.6,BR,1596609466
351,vestmannaeyjar,61.01,35.48,64.53,80,100,12.82,RU,1596609467
352,miri,28.5,-13.86,71.6,78,40,13.87,ES,1596609467
353,riviere-au-renard,65.75,150.85,67.8,34,0,1.74,RU,1596609467
354,amderma,33.5,133.9,84.2,79,75,8.05,JP,1596609468
355,huzhou,54.72,158.62,67.77,62,0,2.35,RU,1596609469
356,sioux lookout,47.06,6.75,53.6,66,0,9.17,CH,1596609469
357,virginia beach,-33.3,-66.34,53.76,74,0,3.94,AR,1596609470
358,iquique,64.22,41.66,62.6,93,40,4.47,RU,1596609470
359,miraflores,5.58,-55.18,77,94,20,2.24,SR,1596609470
360,shakhtinsk,52.15,-6.99,62.01,95,100,7,IE,1596609471
361,norman wells,69.22,-51.1,42.8,87,98,8.05,GL,1596609471
362,jackson,64.5,-165.41,55.99,66,75,4.7,US,1596609299
363,pacific grove,18.22,42.51,71.6,68,67,7.43,SA,1596609472
364,lodja,47.97,80.44,84.94,28,0,11.92,KZ,1596609472
365,bandarbeyla,-6.64,-51.99,67.96,62,0,2.37,BR,1596609472
366,killarney,-21.37,55.62,72,64,46,13.87,RE,1596609472
367,roald,64.75,177.48,59,51,40,8.95,RU,1596609182
368,tabou,29.83,106.43,98.6,44,100,8.95,CN,1596609473
369,nanortalik,58.3,-134.42,57.2,87,90,18.34,US,1596609473
370,mingshui,-13.28,-50.16,65.35,52,0,5.95,BR,1596609473
371,cabo san lucas,17.98,73.47,76.73,92,100,7.43,IN,1596609474
372,juba,71,24.66,51.8,93,75,5.82,NO,1596609474
373,ostrovnoy,44.37,-100.35,62.01,93,20,5.82,US,1596609187
374,altay,64.86,-147.8,60.8,82,75,2.35,US,1596609475
375,coffs harbour,37.47,-105.87,55.4,54,1,5.82,US,1596609475
376,jieshi,65.58,-171,46.15,83,86,5.14,RU,1596609475
377,paita,-13.7,-76.22,60.8,82,90,10.29,PE,1596609436
378,cockburn town,20.5,-10.07,87.57,51,56,23.24,MR,1596609476
379,smirnykh,55.3,89.83,69.28,65,3,12.06,RU,1596609476
380,birjand,13.98,-14.8,76.33,90,95,7.74,SN,1596609477
381,seddon,46.49,135.88,70.48,92,23,4.94,RU,1596609477
382,hambantota,47.73,-3.43,64.4,82,90,4.7,FR,1596609477
383,ballitoville,-9.77,37.93,79.29,46,0,5.44,TZ,1596609477
384,goderich,-20.21,57.76,72,77,40,6.93,MU,1596609478
385,ust-kamchatsk,26.71,-108.32,77.76,67,93,3.58,MX,1596609478
386,hami,14.69,-17.44,78.8,83,20,5.82,SN,1596609479
387,carutapera,-16.81,26.95,68.5,45,0,5.26,ZM,1596609479
388,voznesenye,28.37,129.48,89.6,75,40,10.29,JP,1596609479
389,puerto del rosario,-36.72,-73.12,50,100,3,2.24,CL,1596609480
390,zyryanka,-6.88,112.38,86.5,60,16,9.51,ID,1596609480
391,aki,-26.96,-50.43,44.44,100,19,2.75,BR,1596609480
392,milkovo,54.91,64.43,83.03,43,82,14.7,RU,1596609481
393,rungata,37.46,-122.43,61,87,90,11.41,US,1596609420
394,le locle,44.83,-87.38,51.8,76,75,5.01,US,1596609481
395,san luis,55.31,76.76,79.5,44,0,11.43,RU,1596609482
396,kholmogory,16.86,-99.89,79.77,85,100,5.68,MX,1596609321
397,kuche,8.2,-59.78,72.07,97,100,1.72,GY,1596609482
398,onverwacht,9.84,-83.87,69.8,94,100,3.36,CR,1596609482
399,dunmore east,7.53,-12.51,74.28,76,92,5.57,SL,1596609483
400,ilulissat,66.15,-65.71,50.86,84,100,1.5,CA,1596609484
401,nome,34.58,-118.12,75.2,36,1,14.99,US,1596609186
402,abha,-3.8,102.27,80.73,83,99,10.16,ID,1596609484
403,ayagoz,24.09,32.91,102.33,16,0,7.76,EG,1596609485
404,sao felix do xingu,63.05,179.32,53.83,72,16,6.44,RU,1596609485
405,saint-joseph,42.75,-88.08,54,100,1,4.14,US,1596609452
406,anadyr,52.52,111.54,68.32,70,24,5.01,RU,1596609486
407,beibei,4.92,29.47,70.2,90,100,3.42,SS,1596609486
408,juneau,-16.45,-39.06,64.4,77,75,4.7,BR,1596609486
409,sao miguel do araguaia,23.22,-106.42,86,87,58,1.01,MX,1596609487
410,poladpur,37.09,15.28,80.01,50,36,13.87,IT,1596609267
411,havoysund,18.39,42.45,73.4,56,68,8.05,SA,1596609487
412,pierre,64.84,-147.72,60.8,87,20,3.36,US,1596609206
413,college,40.45,124.07,78.48,85,100,5.14,CN,1596609488
414,alamosa,6.16,-75.37,55.4,100,75,2.24,CO,1596609488
415,lavrentiya,35.3,37.18,88.52,37,0,16.17,SY,1596609488
416,pisco,56.71,42.67,74.26,52,91,1.99,RU,1596609489
417,grand river south east,48.23,9.88,51.01,93,90,3.36,DE,1596609489
418,adrar,12.52,-70.03,84.2,79,40,24.16,AW,1596609489
419,uzhur,25.02,37.27,93.87,44,0,11.7,SA,1596609259
420,koungheul,60.37,93.04,70.86,45,100,7.76,RU,1596609490
421,vostok,4.12,43.89,78.4,62,98,22.48,SO,1596609490
422,ploemeur,-26.65,15.16,51.8,66,0,14.99,NA,1596609490
423,liwale,-36.62,-71.83,55,93,75,9.17,CL,1596609491
424,sumbawa,33.34,44.4,95,36,0,16.11,IQ,1596609349
425,quatre cocos,45.89,20.63,75.99,88,20,4.7,RO,1596609491
426,choix,45.02,-93.22,64.4,72,1,4.41,US,1596609492
427,tarudant,3.78,72.97,83.23,77,100,14.25,MV,1596609493
428,zhitikara,34.83,-82.6,73.99,100,90,3.38,US,1596609493
429,dakar,-30.18,-50.21,58.44,91,0,11.05,BR,1596609493
430,choma,1.2,-70.17,69.84,98,90,1.99,CO,1596609493
431,naze,65.99,57.53,68.5,58,12,15.86,RU,1596609495
432,talcahuano,20.52,-13.05,81.05,66,0,11.43,MR,1596609304
433,paciran,39.7,119.15,85.23,63,100,9.95,CN,1596609495
434,santa cecilia,70.37,31.11,51.8,93,90,14.99,NO,1596609496
435,kurtamysh,35.2,-111.65,73.99,38,1,7.65,US,1596609302
436,half moon bay,35.05,-97.94,70,68,1,9.17,US,1596609253
437,marcona,37.48,141,91.99,61,100,10.94,JP,1596609496
438,sturgeon bay,20.37,-102.92,69.8,73,75,3.96,MX,1596609497
439,chany,-29.95,-71.34,51.8,87,0,6.93,CL,1596609497
440,acapulco,12.18,-0.35,74.32,84,45,10.51,BF,1596609497
441,mabaruma,1.65,14.58,74.34,76,3,4.92,CG,1596609498
442,paraiso,5.1,73.07,82.15,81,100,18.1,MV,1596609498
443,cockburn harbour,-6.88,112.21,86.67,59,37,9.28,ID,1596609498
444,guajara-mirim,43.62,20.9,64.4,100,75,4.7,RS,1596609499
445,bonthe,18.43,-68.97,82.4,88,20,5.82,DO,1596609499
446,pangnirtung,0.52,25.2,71.6,100,90,0.83,CD,1596609499
447,palmdale,38.93,100.45,94.55,22,100,4.09,CN,1596609499
448,bengkulu,64.23,27.73,57.2,93,75,3.36,FI,1596609500
449,aswan,10.23,-66.66,75.2,88,40,2.19,VE,1596609500
450,yirol,52.3,86.2,76.46,51,41,10.31,RU,1596609501
451,beringovskiy,-43.53,172.63,48,87,21,5.82,NZ,1596609423
452,racine,20.78,80.72,82.31,80,100,6.44,IN,1596609501
453,sosnovo-ozerskoye,-24.63,17.97,52,50,0,5.32,NA,1596609502
454,maridi,41.12,80.26,95,14,42,3.27,CN,1596609502
455,porto seguro,68.31,-53.46,41.76,81,100,3.47,GL,1596609503
456,mazatlan,69.49,88.4,66.2,59,82,6.71,RU,1596609503
457,syracuse,41.17,75.81,72.43,26,100,1.28,KG,1596609469
458,faya,37.5,23.45,84.99,64,0,4,GR,1596609504
459,fairbanks,25.52,90.22,87.75,75,91,7.2,IN,1596609504
460,fengcheng,52.32,7.78,61,67,100,4.7,DE,1596609505
461,rionegro,-4.58,-81.27,62.01,82,0,15.52,PE,1596609505
462,abu samrah,41.96,42.96,75.2,73,0,3.36,GE,1596609505
463,pestyaki,14.2,43.32,87.44,63,99,4.52,YE,1596609506
464,laupheim,2.43,103.84,87.8,79,40,4.7,MY,1596609506
465,oranjestad,0.2,30,72.18,50,43,4.16,UG,1596609507
466,umm lajj,-39.03,-67.58,44.6,81,0,3.36,AR,1596609507
467,severo-yeniseyskiy,49.17,-101.8,59.67,92,100,4.85,CA,1596609507
468,xuddur,7.47,4.07,69.85,88,64,2.84,NG,1596609507
469,luderitz,5.52,5.75,74.25,80,0,2.46,NG,1596609508
470,coihueco,11.71,-72.27,83.17,71,98,17.6,CO,1596609508
471,baghdad,50.45,-104.62,57.2,100,20,5.82,CA,1596609275
472,comlosu mare,-43.25,-65.31,49.24,56,93,15.84,AR,1596609224
473,saint anthony,20.89,-156.47,80.6,61,1,14.99,US,1596609258
474,mahibadhoo,9.45,18.94,76.77,82,79,7.31,TD,1596609509
475,easley,63.19,64.42,73.4,40,0,5.35,RU,1596609510
476,cidreira,-40.81,-63,46,91,100,1.01,AR,1596609510
477,mitu,-23.23,-51.67,58.06,71,0,13.49,BR,1596609510
478,usinsk,42.33,142.37,73.8,88,100,12.8,JP,1596609510
479,atar,37.5,61.97,86,35,0,9.17,TM,1596609511
480,changli,16.32,-98.02,77.67,89,100,1.7,MX,1596609511
481,vardo,5.69,-76.66,74.75,96,98,1.39,CO,1596609511
482,flagstaff,63.01,112.47,77.79,34,30,5.82,RU,1596609512
483,chickasha,54.7,78.66,80.04,41,0,13.53,RU,1596609512
484,namie,-8.46,-76.46,69.44,70,83,2.59,PE,1596609512
485,poncitlan,24.93,73.82,91.4,63,75,6.93,IN,1596609513
486,coquimbo,45.09,133.51,81.34,76,0,6.15,RU,1596609513
487,koupela,26.18,127.76,91.4,59,20,10.29,JP,1596609513
488,sembe,21.64,69.61,89.6,75,75,9.17,IN,1596609513
489,eydhafushi,6.5,2.6,75.2,83,40,13.87,BJ,1596609424
490,labuhan,9.41,45.06,78.58,46,100,26.91,SO,1596609514
491,vrnjacka banja,-18.06,13.84,64.92,28,0,1.77,NA,1596609515
492,la romana,20.57,78.83,84.2,79,90,3.36,IN,1596609515
493,kisangani,-35.17,173.17,55.31,86,98,2.91,NZ,1596609515
494,zhangye,59.38,143.3,61.21,71,0,10.58,RU,1596609516
495,kajaani,36.65,53.3,77,69,75,6.93,IR,1596609465
496,sentyabrskiy,11.54,-72.91,80.08,82,28,7.61,CO,1596609516
497,santa teresa,-8.14,159.59,82.8,76,83,8.93,SB,1596609516
498,krasnogorskoye,14.19,-90.27,68,88,75,13.87,GT,1596609517
499,christchurch,61.05,28.93,62.01,91,100,5.99,RU,1596609517
500,ambagarh chauki,60.42,134.53,77.56,35,71,3.94,RU,1596609517
501,mariental,-0.88,29.65,80.83,45,0,1.72,UG,1596609518
502,aksu,51.32,42.77,73,59,0,11.99,RU,1596609518
503,kangaatsiaq,1.74,98.78,86.31,58,100,5.1,ID,1596609518
504,talnakh,-30.65,24.01,46.51,62,0,9.4,ZA,1596609519
505,at-bashi,24.47,88.07,93.4,61,42,24.16,IN,1596609519
506,poros,-0.72,8.78,77,88,75,7.05,GA,1596609367
507,tura,-20.32,118.57,77,41,99,16.11,AU,1596609520
508,mettingen,47.52,122.88,78.46,56,84,7.74,CN,1596609520
509,talara,9.9,4.42,72.01,88,32,6.78,NG,1596609520
510,khani,61.58,-149.44,59,82,1,1.72,US,1596609520
511,phumi samraong,-2.92,-39.92,76.66,68,38,16.64,BR,1596609521
512,zabid,-23.7,133.88,82.4,18,98,27.51,AU,1596609385
513,mersing,20.2,1.01,81.88,60,0,12.21,ML,1596609521
514,kilembe,21.28,-88.93,76.19,94,13,4.16,MX,1596609522
515,general roca,22.28,113.57,86,84,40,14.99,CN,1596609522
516,carnduff,66.42,112.4,77,29,40,4.47,RU,1596609522
517,lalupon,42.92,-112.47,66.99,36,1,5.82,US,1596609523
518,warri,7.71,81.69,92.39,49,100,15.14,LK,1596609523
519,uribia,46.62,10.7,54,93,40,11.41,IT,1596609523
520,regina,-7.3,27.42,81.64,28,44,3.22,CD,1596609524
521,trelew,-25.67,-56.92,61.99,63,0,5.59,PY,1596609524
522,kahului,38.8,-9.45,66,88,20,13.87,PT,1596609525
523,kyabe,50.7,-127.42,53.6,93,5,3.36,CA,1596609525
524,igrim,-5.79,-35.21,71.6,88,40,4.7,BR,1596609525
525,viedma,64.89,-23.71,49.21,91,100,16.71,IS,1596609433
526,astorga,34.48,136.7,86,74,75,10.29,JP,1596609526
527,shizunai,64.47,11.5,57.2,82,20,12.75,NO,1596609526
528,murgab,28.71,-81.21,77,88,1,3.04,US,1596609285
529,pinotepa nacional,-31.93,115.83,68,52,20,12.75,AU,1596609353
530,quibdo,53.05,90.91,72.88,48,0,10.67,RU,1596609527
531,chernyshevskiy,-21.34,55.48,72,64,64,13.87,RE,1596609528
532,zdvinsk,59.12,159.97,52.59,81,75,8.08,RU,1596609528
533,uchiza,61.92,63.02,74.68,37,0,2.77,RU,1596609528
534,nathdwara,-13.88,167.55,82.4,78,75,4.7,VU,1596609528
535,kirovskiy,6.76,-74.79,63.55,95,100,4.21,CO,1596609529
536,nishihara,61.99,-49.67,44.98,81,100,14.32,GL,1596609529
537,porbandar,52.42,136.49,52.29,96,100,12.48,RU,1596609529
538,porto novo,-20.74,116.85,79.65,20,100,11.05,AU,1596609266
539,solsvik,28.32,109.72,94.75,51,65,4.18,CN,1596609530
540,odweyne,10.17,-14.03,74.39,91,100,7.54,GN,1596609530
541,lushunkou,-9.67,-35.74,69.8,88,75,5.82,BR,1596609530
542,opuwo,44.65,-63.57,69.01,93,90,3.36,CA,1596609531
543,hinganghat,25.36,69.74,99.66,40,1,6.71,PK,1596609531
544,ahipara,34.88,-76.9,81,88,1,4.7,US,1596609531
545,okhotsk,14.72,-92.42,81.09,82,100,5.75,MX,1596609532
546,neka,57.73,61.25,69.85,69,100,8.16,RU,1596609532
547,riohacha,61.99,5.14,54,81,75,23.04,NO,1596609532
548,buala,52.37,-106.97,53.6,81,5,3.36,CA,1596609533
549,santa maria ixhuatan,60.72,-46.03,42.8,81,40,4.7,GL,1596609533
550,lesogorskiy,-11.38,43.28,75.2,73,20,5.82,KM,1596609533
551,ust-maya,1.33,172.98,82.4,83,40,6.93,KI,1596609534
552,ntungamo,56.47,10.33,59,87,75,5.82,DK,1596609534
553,kamenka,-4.38,-70.03,71.6,100,45,1.36,BR,1596609535
554,sibolga,-19.67,30.01,65.25,35,5,1.5,ZW,1596609535
555,de aar,56.7,104.25,73.99,43,99,3.91,RU,1596609535
556,jangipur,-9.43,159.95,84.2,70,20,9.17,SB,1596609536
557,port-gentil,13.22,18.34,77.36,79,99,11.92,TD,1596609536
558,port hedland,39.18,-84.53,63,87,1,4.47,US,1596609537
559,nianzishan,35,132.22,87.8,70,20,3.36,JP,1596609537
560,wawa,14,-7.75,71.67,92,26,13.18,ML,1596609537
